[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=0) = 0.0
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=1) = -2.0000000000000004
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=2) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=3) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=4) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=5) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=6) = -4.0
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1) = -0.219970703125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 397) = -1.97314453125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 404) = -2.149169921875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 400) = -1.724853515625
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 414) = -1.46875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 445) = -0.04833984375
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 426) = -2.04541015625
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 398) = -1.9326171875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 428) = -1.333984375
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 405) = -2.104736328125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 415) = -1.315185546875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 401) = -0.9345703125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 446) = -0.021240234375
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 427) = -2.42919921875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 429) = -1.664794921875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 399) = -2.012939453125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 406) = -2.18310546875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 416) = -1.52197265625
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 447) = -0.08056640625
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 428) = -1.939453125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 402) = -1.939208984375
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 430) = -1.755615234375
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 407) = -1.8408203125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 400) = -1.9296875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 448) = 0.04443359375
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 417) = -1.4658203125
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 429) = -1.5419921875
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 403) = -1.306884765625
[2025-10-05 22:37:25] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 431) = -1.740478515625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 408) = -2.02001953125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 401) = -1.87890625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 418) = -1.544677734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 430) = -1.320068359375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 449) = -0.06591796875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 409) = -1.99853515625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 404) = -2.00537109375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 402) = -1.53662109375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 432) = -1.777587890625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 431) = -2.302734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 419) = -1.717529296875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 450) = 0.007568359375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 405) = -1.73486328125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 410) = -2.094482421875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 432) = -2.125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 433) = -1.752197265625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 403) = -2.024658203125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 451) = 0.012939453125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 406) = -1.4609375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 420) = -1.300048828125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 411) = -2.337890625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 433) = -2.374755859375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 434) = -1.7353515625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 404) = -2.107177734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 452) = 0.0029296875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 412) = -2.0830078125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 421) = -1.79052734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 407) = -2.0107421875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 434) = -2.53857421875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 435) = -1.78271484375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 453) = -0.02490234375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 413) = -2.157958984375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 405) = -1.826171875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 422) = -1.451416015625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 435) = -2.6689453125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 436) = -1.671142578125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 408) = -1.3515625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 454) = -0.01318359375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 414) = -1.89013671875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 423) = -1.38037109375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 406) = -2.09326171875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 436) = -2.1552734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 437) = -1.614013671875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 409) = -1.733154296875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 455) = 0.017822265625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 415) = -2.465087890625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 407) = -2.122314453125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 424) = -1.902099609375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 438) = -1.4560546875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 437) = -2.044677734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 410) = -1.48779296875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 456) = -0.021240234375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 408) = -1.91650390625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 439) = -1.57763671875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 416) = -1.98193359375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 425) = -1.3564453125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 438) = -2.0625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 457) = 0.02587890625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 411) = -1.632568359375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 440) = -1.5400390625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 409) = -1.883056640625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 417) = -2.0732421875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 426) = -1.935302734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 439) = -2.486083984375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 412) = -1.97021484375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 458) = -0.0712890625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 441) = -1.611328125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 410) = -1.737548828125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 418) = -2.287353515625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 413) = -1.50146484375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 459) = -0.004150390625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 427) = -1.480224609375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 442) = -1.3271484375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 440) = -2.25927734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 411) = -1.74951171875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 419) = -2.310791015625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 414) = -2.038330078125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 460) = -0.014404296875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 428) = -1.864501953125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 443) = -1.612548828125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 420) = -2.37548828125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 412) = -1.829833984375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 441) = -2.310302734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 461) = -0.0009765625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 444) = -1.787353515625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 415) = -2.11767578125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 429) = -1.478759765625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 421) = -2.101806640625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 413) = -2.216552734375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 442) = -2.516357421875
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 462) = -0.002197265625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 445) = -1.665771484375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 416) = -1.394287109375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 430) = -1.56494140625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 463) = -0.015625
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 414) = -2.132080078125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 422) = -1.9443359375
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 443) = -1.861328125
[2025-10-05 22:37:26] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 417) = -1.848876953125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 446) = -1.5791015625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 431) = -2.131591796875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 464) = 0.051025390625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 415) = -1.98583984375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 423) = -1.942138671875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 444) = -2.254150390625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 418) = -1.832275390625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 432) = -1.17919921875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 465) = 0.011474609375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 447) = -1.59130859375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 416) = -2.048828125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 424) = -2.3203125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 445) = -2.041748046875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 419) = -2.15380859375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 417) = -1.9736328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 466) = -0.012451171875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 433) = -1.77392578125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 448) = -1.637939453125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 446) = -2.42236328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 425) = -2.099365234375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 420) = -1.946533203125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 449) = -1.45458984375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 418) = -1.97265625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 467) = -0.00830078125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 447) = -2.16552734375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 434) = -1.61767578125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 426) = -1.527099609375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 421) = -1.663330078125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 450) = -1.446044921875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 419) = -2.054443359375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 468) = 0.0263671875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 435) = -1.871826171875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 448) = -2.58447265625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 427) = -2.464111328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 422) = -1.869140625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 451) = -1.3671875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 420) = -2.072021484375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 436) = -1.908203125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 449) = -2.015380859375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 428) = -1.961181640625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 452) = -1.4716796875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 421) = -1.658935546875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 469) = -0.041015625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 423) = -1.8984375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 450) = -2.370361328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 453) = -1.631103515625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 437) = -1.67822265625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 429) = -2.169189453125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 422) = -2.0146484375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 424) = -2.008056640625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 470) = 0.00048828125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 451) = -2.385986328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 438) = -1.640380859375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 454) = -1.5771484375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 430) = -2.1875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 471) = -0.033203125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 423) = -2.154296875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 425) = -1.60986328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 452) = -2.18310546875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 455) = -1.427978515625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 439) = -1.972900390625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 472) = -0.01416015625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 424) = -2.12646484375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 426) = -2.029296875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 431) = -2.222412109375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 453) = -2.402099609375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 456) = -1.346923828125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 440) = -1.47216796875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 473) = 0.033447265625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 427) = -1.910888671875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 454) = -2.018310546875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 425) = -1.878173828125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 432) = -2.162353515625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 457) = -1.653076171875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 441) = -1.594970703125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 474) = -0.05908203125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 455) = -2.62646484375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 428) = -2.250244140625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 426) = -2.106201171875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 458) = -1.61328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 433) = -2.1875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 442) = -2.111572265625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 475) = 0.01171875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 456) = -2.42236328125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 429) = -1.949951171875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 427) = -2.078369140625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 476) = -0.047607421875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 434) = -2.0673828125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 443) = -1.850830078125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 457) = -2.455322265625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 459) = -1.70751953125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 428) = -2.131591796875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 477) = -0.060302734375
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 430) = -2.153076171875
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 435) = -2.2822265625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 460) = -1.579345703125
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 458) = -1.732666015625
[2025-10-05 22:37:27] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 444) = -1.666748046875
[2025-10-05 22:37:28] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 478) = 0.020263671875
[2025-10-05 22:37:28] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 431) = -1.638671875
[2025-10-05 22:37:28] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 429) = -1.803955078125
[2025-10-05 22:37:28] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 459) = -2.1962890625
[2025-10-05 22:37:28] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 461) = -1.5576171875
[2025-10-05 22:37:28] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 436) = -2.0439453125
